[24Feb.2025 11:42:00.892] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forge_userdev_data, --assetIndex, 19, --assetsDir, C:\Users\xLorkin\.gradle\caches\forge_gradle\assets, --gameDir, ., --mod, teleportpugmod, --all, --output, G:\Entwicklung\Minecraft\Meine Mods\teleport_pug_forge_54.1.1\src\generated\resources, --existing, G:\Entwicklung\Minecraft\Meine Mods\teleport_pug_forge_54.1.1\src\main\resources]
[24Feb.2025 11:42:00.894] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Microsoft OpenJDK 64-Bit Server VM 21.0.6+7-LTS
[24Feb.2025 11:42:00.895] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.2.4 starting: java version 21.0.6 by Microsoft; OS Windows 10 arch amd64 version 10.0
[24Feb.2025 11:42:00.961] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forge_userdev_data
[24Feb.2025 11:42:01.027] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=jar:file:///C:/Users/xLorkin/.gradle/caches/modules-2/files-2.1/org.spongepowered/mixin/0.8.7/8ab114ac385e6dbdad5efafe28aba4df8120915f/mixin-0.8.7.jar!/ Service=ModLauncher Env=UNKNOWN
[24Feb.2025 11:42:01.575] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: No dependencies to load found. Skipping!
[24Feb.2025 11:42:02.025] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forge_userdev_data' with arguments [--gameDir, ., --assetsDir, C:\Users\xLorkin\.gradle\caches\forge_gradle\assets, --assetIndex, 19, --mod, teleportpugmod, --all, --output, G:\Entwicklung\Minecraft\Meine Mods\teleport_pug_forge_54.1.1\src\generated\resources, --existing, G:\Entwicklung\Minecraft\Meine Mods\teleport_pug_forge_54.1.1\src\main\resources]
[24Feb.2025 11:42:05.058] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:root
[24Feb.2025 11:42:05.058] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:sound_event
[24Feb.2025 11:42:05.059] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:fluid
[24Feb.2025 11:42:05.059] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:particle_type
[24Feb.2025 11:42:05.059] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:attribute
[24Feb.2025 11:42:05.059] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:mob_effect
[24Feb.2025 11:42:05.059] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:block
[24Feb.2025 11:42:05.059] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:enchantment_effect_component_type
[24Feb.2025 11:42:05.059] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:data_component_type
[24Feb.2025 11:42:05.059] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:entity_type
[24Feb.2025 11:42:05.059] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:item
[24Feb.2025 11:42:05.059] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:game_event
[24Feb.2025 11:42:05.059] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:potion
[24Feb.2025 11:42:05.060] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:block_entity_type
[24Feb.2025 11:42:05.060] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:stat_type
[24Feb.2025 11:42:05.060] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:custom_stat
[24Feb.2025 11:42:05.060] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:chunk_status
[24Feb.2025 11:42:05.060] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:rule_test
